Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2026,10.979462797874989,11.793358196706873,12.89527262747288,14.673744167970577,12.705810784463488,13.726338367747228,12.868379740935307,11.81012589063333,11.665978115821343,12.44461574211069,11.19516459901048,12.060367098240102,11.971163194140665,12.070377656299135,12.821201789779991,13.16484668211121,11.556301339812906,11.397675720245942,12.023611752559306,10.775401306945993,11.998468857258558,10.690274038392563,13.989775314927103,11.944937765598302,13.410767322001252,14.579787446104962,10.390150532450365,12.789864275118578,13.229431896106057,11.920902909670511,14.484837332497472,13.582148573968722,11.859653333485456,12.19495095231611,11.220738495497597,10.630563928745689,12.122048701929009,13.418676818194596,11.264695661223453,12.07429601446442,11.774489027974399,12.291221324759332,12.623020975972002,12.47323276790912,15.6534960684569,8.510588085521826,13.684479863747312,12.730571656123452,12.124929902022304,12.352429039452389,12.34958097824584,12.101229046997817,13.28335953746801,15.475071490458822,11.78236893856007,12.079371018254239,12.444637363533614,11.17514605844474,12.973866770448897,10.265143678564096,11.532866478128275,11.026186981906548,10.89006573399124,9.98433813582296,11.985959137992369,12.6736643070598,11.435251034148367,12.897938040004153,13.074416318665385,12.925297788303833,12.083852599091506,10.960267316873956,12.21473555331645,11.08511032164097,10.900635473430153,11.531561025782771,12.494263633761719,12.510721149327967,13.386698326338898,11.89214629485555,13.788672591681069,12.23350484539634,11.557862246166104,11.336593834440345,15.517968374749888,11.392518980023656,12.286807650457261,12.856735794116622,12.392862963854622,11.620024095410882,10.801672634547172,11.618641376333395,13.27874368040458,12.175490010691728,12.553717414241124,11.777489575678885,13.083399490817733,11.637413374107819,13.248609422341643,13.053464105717193,13.715102840376941,11.821067493408918,11.94514293871496,11.657912608843457,12.16797060843395,12.300083706884283,11.92509699580462,12.345883407994457,12.443867830964532,11.40533996940307,10.833511939515239,12.077065969128972,11.301433663977232,13.809222781139871,10.061274745091593,9.367287650360202,15.064193746317988,13.705116276507793,11.545761533405472,13.083748898428416,12.05413369010152,12.0619641278425,12.948997012299042,12.225477694169335,12.18045099962341,11.111596878375051,12.579388473668821,12.237636825636677,12.475990040470725,11.736196979232457,12.497637339989133,13.174820203496063,12.247784602577275,11.024322994377298,11.773715020197892,10.72068928975774,11.92243657504087,13.600816187651262,13.373772657435879,11.254860684285752,12.458965576861216,12.280659620690605,11.884796295962909,13.240994430430565,12.258980577406676,9.27782046174853,13.2348108685211,11.381356356908451,13.65749936777612,10.55570623343405,11.095752129898123,10.837880199532146,13.648826136537226,11.083544778759068,12.566623391664544,12.060051999176329,12.734491272869969,12.481201870285947,11.135450729692822,13.337505544819267,13.000198874784555,12.36774428059226,12.19593155902365,12.70766069092181,14.041113871595133,10.315914289215986,10.908412425090434
2027,10.276606593281029,11.031102727349525,12.512459618565831,14.00774781211563,12.804914778827325,12.721377466683805,12.95486760269041,11.558886905727174,10.881917682516832,12.180346987331694,10.218032324585419,11.384308958547594,11.625053901063362,11.763108045186687,12.979239551876875,13.272861657866644,10.931331079250768,10.806041446392951,11.336827881431777,9.953367586531071,12.06518855788138,10.100462061555486,13.74768921344177,11.619762509236233,12.798802825419799,14.781340115420196,10.133475725012628,12.40633201582924,12.560100006830428,11.23502327544291,13.760281403670492,13.61003903008026,11.880385846385492,11.500479174858855,10.398662594470965,10.714978267317232,11.846808076876664,13.606349578830821,10.643896863512369,11.401548639618102,11.522979010139467,12.330673018875329,11.914078403486991,12.20310625872251,14.240867420383127,8.147853053215403,12.899411211843073,12.088679481459701,11.44387400534976,11.414339946339963,12.475314307168286,11.196507515142793,13.393984604140986,14.615652869182195,11.449538119339746,11.48895252172066,12.00068858606012,10.292579735426802,12.294129450036134,9.986444109807847,11.410010031829389,10.763851969462376,10.1119073383996,9.153234760722391,11.224134549458066,11.945982819747018,10.790955998772835,13.00599254036079,12.518414182507474,12.878551334304657,11.57048010728929,10.710958650902562,11.551465563152147,10.545492849920107,10.873619674826443,10.769903025792345,11.913419777608436,12.065456496389666,12.621591698864233,11.243383937555814,12.836617354789508,11.959411014357341,10.898827986224838,11.085994169682918,14.085050897753757,10.708711215983264,11.608248773557339,12.534500732774973,11.692931367003402,11.027874533410952,10.28082730333604,11.204157834872605,13.491986732120099,11.824478516436146,12.643588786620809,11.577640353337575,13.170924481976297,11.399228002876045,13.34043882333714,12.622481149013925,13.054807323152604,11.920476835383022,11.70743861292367,11.447506632088967,11.880807040502201,12.450337497679433,11.002241727693576,11.63839699174075,12.183186493388822,11.150886280684857,10.001897171058735,11.647168959045542,10.518208691283416,13.020959840520568,9.791130298991567,8.66662422923938,14.326661630979055,12.87676137243018,11.241641864828443,13.158723703707045,12.24821641150376,11.472339974149413,12.325143427223617,11.330318616419707,11.79264870030887,10.797791022969331,12.359352575696038,11.480708484983312,11.79731841729549,11.144950936345953,12.02648686347074,12.78003389809443,12.344769593166268,10.248652726290345,11.01514283600061,10.804738845595201,11.251576526546044,12.795125913320351,12.760496613124145,10.65572566198914,12.08252776487042,11.59763785162637,11.185197683111964,13.356302652993932,11.46877625066301,8.866826803140022,13.342355511758639,10.600222661200425,13.746690755548036,9.758381099804591,10.540560963523129,10.295876585594984,13.50803566651176,11.182414108401407,12.165289729995575,11.693049162302328,11.950441151533436,12.250065705860436,10.861061209893748,13.456267001026353,12.788042594233287,12.521386133678986,12.21695275993451,12.292275699098475,13.105096347711012,10.02640913297301,10.153937900175702
2028,10.665881529450418,11.406820266952977,12.260244055610638,13.490264052930085,11.833143834348606,12.890778854489332,11.88139941057433,10.757564982520822,11.332698277481224,11.376789268592134,10.582162692899935,11.582405414199458,11.365355633199217,10.914396705186888,11.809906297079895,12.132963774644812,11.094152904075129,10.995857192122418,11.51452090882737,10.361347081868546,10.993068838734992,10.643884001218751,12.815038841379726,11.364847441649307,12.782119859819828,13.53180369346038,9.341965854167938,12.153285690461814,12.662774143011678,11.40768983620017,13.292933064958328,12.808424422274468,10.839661242845265,11.680691630215103,10.692285584589548,9.595880966997992,11.124096414155288,12.215222024399305,10.917691760736965,11.587763103130074,10.963645850976363,11.26659763183283,12.11814807776524,11.430083591480864,15.155042762341704,7.314791211291501,13.012435596922172,12.211040154099464,11.631101988579918,11.745191441120017,11.286749816378176,11.522334233736217,12.34487736678642,13.830800388170326,11.190509989817187,11.340401563955387,11.796682700595776,10.605428664499652,12.20673406075524,9.198737244850593,10.672658776257029,9.892394433040982,10.540811303922016,9.591086647270814,11.460604872595038,12.139401856404932,10.970358270341938,11.967618966394145,12.622663694879286,11.927917528411616,11.36933066420581,9.922124096880793,11.598611887706364,10.721653277945263,9.954558300421294,11.196987927567381,11.87304058707441,11.760988133433077,12.462259468824971,11.445426847299803,12.979612117552236,11.167969039127575,11.208048624836882,10.287444589011697,15.024583681769998,10.910222914879737,11.781940862536436,11.677161884534616,11.865575007881723,11.224641123543613,10.450466752376247,10.927509803173095,12.136860298721691,11.572045269867647,11.556452101613658,10.61686593488507,12.218298141399156,10.585371314844055,12.378904270089189,12.316884571443437,13.012900806639506,10.848095293764189,10.88783645783754,10.844313057908868,11.17545699360578,11.269442891135164,11.349739654070657,11.805104472714925,11.401923542923257,10.387357769938916,10.312568450812252,11.373404223674342,10.951942157121783,13.186799391456272,9.031429640138926,8.664115391995598,13.800763964653017,12.992608890585279,11.003765675036803,12.23562562983969,10.952554624041781,11.427392428416926,12.166241084346956,11.648774710362376,11.524547740493132,10.366692484402018,11.542828248570794,11.89073807325052,11.982382014717746,11.098457623921012,11.739485592599053,12.549196827346863,11.291456667625388,10.667454393175635,11.458328074087268,9.725878533137884,11.427953568651628,12.929501616436502,12.81330025714377,10.848033621907236,11.810346526620183,11.770862989451576,11.368196472161168,12.23662414758102,11.926428171441604,8.288344033642003,12.35057043705298,11.04099069066022,12.688664849037709,10.200691627905421,10.378783938920368,10.453825229535932,12.671304582901628,10.066142144410506,11.888669933313908,11.414082982212955,12.137404764635463,11.426478463508513,10.086236104531135,12.359703125513123,11.938935737247055,11.274392071787428,11.208387790237678,12.007434303345887,13.25391943687978,9.302100422589678,10.534674340778068
2029,11.36889860212155,12.312272328397501,13.38224531977397,15.092432929121932,13.131644616551378,14.104456934915936,13.25030754506588,12.111947522863098,12.133127284438716,12.727711002463877,11.184977621002043,12.708909453905145,12.395703937676126,12.318169955974044,13.228865160728278,13.567662722390628,12.208696826644564,11.973406267554864,12.719186210114026,11.142797239772653,12.388112266426502,11.355608126391532,14.467406192632472,12.346505626064282,13.738736528417343,15.262902581173435,10.669976469615232,13.236541849763501,13.479387218537537,12.588878711928492,14.87890452923982,13.892667639514674,12.240624773761498,12.905854584082308,11.23992926740776,11.044102746345427,12.456705650557643,14.032463015097642,11.760617848971616,12.745782050101653,12.225354803078199,12.67354332841933,13.339577824525216,12.753841039603174,16.099207038464755,8.830308347130599,13.99542130529881,13.39108518349088,12.80346689664799,12.357040197952934,12.779559064494526,12.084228966547103,13.698393515918571,16.0391836837744,12.18668598163387,12.18279443292514,12.97467627279137,11.186663523154417,13.398393249908546,10.55339804178347,11.975334880731836,11.322759765807703,11.37099110497081,10.332033164475275,12.026348581780564,13.410073415740676,12.097863416308941,13.315939567740202,13.55118654344393,13.270585786794193,12.585507563922716,11.25569247671292,12.94956470531938,11.63135402358097,11.319129774913847,11.978965082246322,13.120091466152147,13.031450002899636,13.32590240758398,12.519003098101722,14.153218344177889,12.509454164168112,12.038149869312408,11.608227805598926,15.97056694134422,12.045897929564768,12.988301510396216,13.09994491740413,13.121465690757919,12.205997415210891,11.323933983626578,12.097946421607688,13.832750506699085,12.618085753496576,12.946770951678248,12.09298059469818,13.433260026509352,11.937004099073617,13.657849755624067,13.570373822778024,14.105549428611994,12.237715039888155,12.246724390465285,12.126986019232351,12.492746355740923,12.729685842990875,11.89792274003443,13.076993545112405,12.716312404560009,11.701885639325434,10.90058572728025,12.5532363674239,11.7840074300766,14.095993994370748,10.341560814610641,9.451041481417157,15.502244260000149,14.033475533198649,11.917501456063729,13.446090511188073,12.491427333782552,12.670216897259593,13.351317521670591,12.212234421268754,12.679589777537014,11.568529953289294,12.893339985738633,12.706426696082493,13.172749319802158,12.015235124722771,12.991762207902001,13.604500173834028,12.652571563487468,11.491020193566447,12.189248771123264,11.143668791481659,12.596941643435025,13.904745813540146,13.627330116603686,11.846459529220896,12.92221529263517,12.987140757882079,12.566134977599848,13.656055624070374,12.721513313605739,9.510826823989984,13.663624091802731,11.859236792377803,14.047126167494323,11.037188035314498,11.236225126878072,11.388036355376244,14.05781384776144,11.505786472607566,13.06193383491558,12.52823646172233,13.529711421498138,12.782984287842465,11.408828584882228,13.749030628768002,13.41371927183607,12.804021800179845,12.614544913820604,13.191597861683244,14.402653948120447,10.586505961644908,11.370592049930407
2030,10.858937539160253,11.807524196155695,14.487376929706205,15.37981200736502,14.013380751661632,14.680302017408868,14.243095284651808,11.743344803543195,11.570299596890163,12.481990252143158,9.643574718628889,12.448269195206787,13.462591098540504,11.784750756038273,14.261733250449533,14.619343211550433,11.953724696584372,11.728367807065215,12.449168225345407,10.31841624269019,13.360635009796725,10.841892774662245,15.195540833975317,13.361943796277046,14.383299962981887,15.583427214630593,10.306154566614524,14.292500191813577,13.903725786701493,12.320962331865143,15.145834832735686,14.649822239642559,13.069532108695613,12.625837424203105,9.85786128206098,12.105901722836753,12.086904607115958,14.628831403410953,11.38789863544314,12.474244461435342,13.30581389448565,13.496068454307059,13.147480566540487,12.375473218646063,14.972175821014075,8.396790727487074,14.426334953178527,13.254778796644967,12.53736238440742,10.838639677380737,13.862961733146854,10.619216190246135,14.634965939325808,16.44960427049386,13.233580139668092,11.322336893528698,13.884896696261738,9.738116668780215,14.277983046096304,10.184453596826645,13.028399923411403,10.946817964801323,10.795947524607586,9.532384704353044,10.691885654124905,13.114954045933228,11.828764039537184,14.223090822282044,13.811172668700634,13.801189917909067,12.270475661948968,10.867501438959788,13.015154233445294,11.390060082725855,12.378236319485087,11.421654217107143,13.518783443060745,14.302121121598327,12.166649184149247,12.256673065540586,14.6828222927111,12.12833313190419,11.630343265507538,11.240531794038485,14.8161092452381,11.759007798416702,12.713565746079325,12.563178429056123,12.844629274438256,11.943006629610194,11.098427824999977,13.262507760978268,14.701076658240154,13.677997556555534,13.920537135361329,11.946905733450599,14.300651690558247,11.560559251548156,14.530496134139273,14.834541041242042,14.861650730442744,13.185047165045274,11.861330751815572,13.174637645483019,12.115435308817288,13.798293631685818,10.448143866237093,12.804325509694936,12.344632028966497,11.298121608712751,9.565502032151688,13.66506711361201,11.203923410047656,14.502237355903445,9.96609261526686,8.367677864335151,15.789550081219362,14.536434265258523,12.893804608317826,14.294492566391181,13.635291543667728,12.38039049570975,14.08816009970463,10.790770980974903,13.823440453604512,12.697239707993429,12.681091561883122,12.22049075656611,12.892996114233268,11.25230963843996,12.666287640352612,14.671259975627715,13.588415891903896,10.929226275857372,11.650580958827682,12.161956805411888,12.325956527305683,14.368344862115286,14.074170130750407,11.591963450545848,14.042699346966723,12.713121402522795,12.300233493923491,14.673028432642637,12.149241347351802,8.964258668539319,14.547610115745794,11.29290416196961,15.041783074321954,10.448788031814216,10.297516115343846,11.161273889567541,14.790571920249773,12.520153726248637,14.267660336649936,13.680008466072058,13.230269917064225,12.408173737966496,11.040581827578341,14.702765496852603,14.097706939863127,13.942002976880126,13.505353920485662,14.382641905351829,14.920695581513906,10.243828641331717,10.809471058051873
2031,10.53707934980807,11.248921844865317,12.64120215153241,14.530609631020093,12.494583884982962,13.545121299750784,12.72508876523732,11.034801108944835,11.072819823480174,11.724764354526997,10.00984232289636,11.743549341254909,11.74947314644638,11.450582470582882,12.658405973049609,13.007064683605792,11.228443377975218,11.153166944080079,11.704144154796785,10.000562585566355,11.85061190536489,10.423328302476717,13.778279934240425,11.708874796395714,13.308968215532925,14.563450143389078,9.629964900122065,12.525469498141955,13.158079726540524,11.569231663344679,14.302423833504967,13.42438205185792,11.637324695677865,11.825187623176886,10.110375121154867,10.455424629015168,11.375528737416733,13.360757102784904,10.960864568210164,11.747789951446263,11.475544976961356,12.055316351030186,12.356807386421645,11.713809450318957,15.393750289212102,7.666984951123596,13.625857315309672,12.423943070289885,11.787455319062524,11.265467245941577,12.188857867503947,11.017307176922815,13.105549086249717,15.289069476334948,11.573975197970867,11.277548664532926,12.142491285891637,10.055075366211977,12.707532465356689,9.51320630618695,11.247645995202575,10.25436261968444,10.289032445572646,9.240771454961406,10.902361683587992,12.314463750904668,11.120305690995377,12.71357216556435,13.074913372164191,12.588598584027396,11.534709996017428,10.173226788640022,11.82350151370401,10.883382918637086,10.673588517324433,10.98478480007338,12.126893246627372,12.189612883588545,12.946748763322828,11.607865291343922,13.612546341007818,11.468871576073782,11.189257179265438,10.568211150558097,15.236489404802741,11.005906479676133,11.9372984305753,12.178785832355851,12.03228554101256,11.360397043597436,10.611302964065388,11.32278011585384,13.210075288687065,11.948872760586116,12.402672968804838,11.082178088552926,12.91956875959168,10.86255710995149,13.052622134361986,12.7605878604657,13.524345539996158,11.606935778956698,11.161359742526775,11.441505480719652,11.399372467852162,12.121051363970924,10.85617533002211,11.967642701514391,11.67999610402014,10.62684569380286,9.778892895935673,11.718219531801248,10.694551153675366,13.71303919022498,9.308403525177551,8.377879597975507,14.91525311314541,13.592447238933781,11.376966746847915,12.920183285422947,11.869591070582043,11.628246002445891,12.690143084558455,11.202242448116126,11.921289479764903,10.844428558388481,11.888281609701076,11.74787594637145,12.139650141091453,10.899119834861025,11.954374387212422,12.903363323082095,12.074341923646307,10.436566977721197,11.25160186705382,10.541952486190462,11.575340916524118,13.480591887365216,13.351505981839225,10.996835767250996,12.198778176761191,11.915917174931128,11.513521185205523,13.075383360619135,11.673893450394921,8.473815483891448,13.047593166808722,10.785376496233411,13.522520117785625,9.943217826015117,10.141045956366247,10.591856259042805,13.460286611205209,10.883575191721322,12.314517158650512,11.852000987076247,12.310330768075328,11.681596040725706,10.3776114375695,13.174084730689298,12.806654994011575,12.192606041450865,12.005403103387872,12.412624048716996,13.899000509277634,9.651976135599876,10.415066383455112
2032,11.146825159373494,12.070916925273513,14.284403789950456,17.19296293948656,14.281339855135785,15.971852146089079,14.565707548480967,12.576834179461002,11.847789349763293,13.313805772072595,12.01110856105452,12.676238101461662,13.278277275678905,13.53695266596649,14.616415989382762,14.949399022628434,12.151794482832367,11.954180139886299,12.67929740962775,11.074164756290289,13.647439634022506,10.990106545712637,16.27214336330476,13.192748333772885,15.075712885383679,16.954087941542916,11.159264216928376,14.154570953191623,14.861007400828859,12.52529639482458,16.995171163150154,14.965810085120413,13.418669292136379,12.838034015796755,11.898096022034144,12.389194161631169,12.86805218814508,15.83860499120277,11.650130607997594,12.689899173605701,13.253012003782006,13.892218067918135,13.357753709768472,13.222706768823711,18.08728098869324,9.467428484688636,15.571411183346873,13.455523244307745,12.773808981413431,13.268703669957493,14.169997023013623,12.998659255064052,14.94205153636311,18.943344279475838,13.089025810684848,12.920667109929997,13.741119869863212,11.915992237951446,14.75377983065403,11.113338008199047,13.088631694569536,11.962629472269963,11.075925144974308,10.29898994282374,12.61996544427846,13.339301540030412,12.034121205301389,14.511846659826524,14.85453530886899,14.273982676798887,12.696833054332632,11.715872231061043,13.137818162167523,11.613675844734134,12.530135617874887,11.711554068262162,13.540410274396775,14.07464925373864,15.423539463592622,12.47657378649582,15.89705318034343,13.027452088892467,11.905834491486134,12.100490782895811,17.941358949827116,11.935729046919102,12.95167285074358,14.21014168599378,13.088529517955104,12.174571292231912,11.316418722271917,13.026695490207361,15.531150822811155,13.493612087291226,14.223045252830438,12.848660660826647,14.62037430736034,12.402975878313832,14.812264831007823,14.620769802966844,15.42005647718907,13.454442660121817,12.71627843250399,13.16970300836408,12.887123552839393,14.105688103353204,12.796816132962705,13.03684677904391,13.198384554003889,12.13833065946465,11.470053513412891,13.459372083008612,11.473370097415602,15.507996478806378,10.834724133429324,10.146019527152102,17.735034537380155,15.671669632844305,12.766097555989807,14.582598431116864,14.007557670408662,12.734045242445303,14.68906467986982,13.085065946954751,13.607513152012277,12.577080320728863,13.444221944264743,12.513442376385564,13.105080444770666,12.280322401743868,13.188004731524574,14.50219234791787,13.8684761647297,11.208272788268719,11.94964146808438,12.429385709535822,12.546197731371812,15.491298429991888,15.025781538175499,11.799550289045209,13.839686239219233,12.941802288851012,12.489822235120377,15.022645926022012,12.449917787443034,10.112399855709594,14.836303215843383,11.572615639994977,15.367482888957733,10.734032429592766,11.774803088411044,11.340213171813797,15.495860562376354,12.783974234358935,14.047076120162783,13.48698991196959,13.463923902615257,13.25610107717955,11.899141872058744,15.01237006534053,15.034670446877897,14.297263298872052,13.968575902283193,14.176824442458939,16.177187752788484,11.187579651241718,11.10128459075223
2033,10.388938620524561,11.103712664998099,12.79600844030147,14.147665796072587,12.39747368070581,13.408253937514257,12.513686610790701,11.1064592703529,10.984036168326503,11.72021486674962,10.418463402792161,11.475258267282149,11.866793574198432,11.259545048435584,12.476729937424157,12.810315945631139,10.979888491332533,10.885588476353366,11.398293896213824,10.05769756383708,11.66125742216473,10.290091594924096,13.549223190213997,11.863230152622513,13.238936690046742,14.343593628510183,9.72095738416133,12.69638451281935,13.024782477513599,11.313533147392066,13.956453169169633,13.290085681106733,11.480721434173377,11.560642081758253,10.533044421559447,10.292383646349542,11.441905303817729,13.05350202070954,10.727698230225105,11.47597524928658,11.576343171865402,11.873177698772889,12.033926232191535,11.773643475754751,15.216511049996257,7.679246042490652,13.418953090906143,12.1897542875908,11.513389465115646,11.562884045359882,11.984878358147716,11.3334150246304,12.95988941397113,14.823768416075444,11.67804470140001,11.363304961553737,12.24937792316727,10.471882702701766,12.755031864280285,9.522699480309438,11.310484465454586,10.212647648740806,10.199230992113767,9.280520971641756,11.343844785355033,12.0158955210253,10.846427820622923,12.59780816259065,12.898549560619438,12.45981397529376,11.457776812431606,10.292365118699228,11.629790283739567,10.60874409844046,10.628743531425364,10.86295506876448,12.065156322762208,12.383093503830223,13.021442213784097,11.339039325390178,13.493271971526358,11.480355570011813,10.991314672257587,10.658592817920223,15.069870953974517,10.781224015502906,11.661196242855942,12.035729911826229,11.742968483787516,11.102298915629154,10.343045571575997,11.507265513519881,12.933430753324343,12.066945321533991,12.21161988474753,11.017557237783205,12.782463585552964,10.954600860081294,12.965333924102397,12.925887609184118,13.524108679722184,11.536248614768619,11.262021321317423,11.451782286288624,11.490304203784987,11.958509274960862,11.159410390193052,11.686173110876393,11.731436755346218,10.735859206675187,10.163795539704354,11.944325697081895,10.602214904583022,13.564759298511179,9.38837027847362,8.650057888225371,14.499961365824161,13.458425055379456,11.450438404860703,12.789493028560413,11.685393920735175,11.424345414194722,12.706513445662413,11.491104093582736,12.089273157974953,10.964057401146578,11.920172033831477,11.59426916034325,11.872442178752111,11.061011819411883,11.856377464921582,13.072056645932404,11.943187712327294,10.333032782311028,11.130887195224993,10.407269595109895,11.310885466959167,13.359400222401904,13.190915480903957,10.734615558191486,12.35240681186501,11.651667304660961,11.261241300922373,12.884620080661515,11.563790583983064,8.548793472187674,12.930908119518557,10.69481872410878,13.320040737157283,9.852500147975816,10.43766813709036,10.350963415658994,13.300585210323328,10.777306379031637,12.448104879454428,11.945673994573205,12.007611803022094,11.789529745345533,10.432294332462808,13.003154161588656,12.615005531267304,11.99411145095592,11.882950942801395,12.583707752435103,13.744721069931986,9.58694413093769,10.244471960417602
2034,10.416057818488264,11.082457723824875,12.667861966335261,12.795864420092624,12.346841403242689,11.875295939328883,12.613086114333866,11.056061934436793,10.924570778222835,11.708848545651726,9.841111285935924,11.583213384384699,11.806485416367652,10.984039087739328,12.590565311155572,12.89231415750945,11.051582184336754,11.038079072518839,11.46336723075491,9.850111313974084,11.745677722233305,10.33013517377169,12.859134972338444,11.810983171362592,12.449929782229924,13.744062165851178,9.72418160056291,12.517632164627962,12.041761395723926,11.396894727712093,12.55754308791264,13.316752816671908,11.539404559070649,11.646158418506786,9.986217380744284,10.34612392148246,11.429711856919784,12.71933915840624,10.897846856842873,11.584699580962157,11.44929859592863,11.957012964655526,12.05726644526357,11.75294667587656,12.631384175756706,7.721060258052922,12.301087101516517,12.186390728649243,11.608075141744768,11.036131878930105,12.077414947359458,10.786079373716824,12.97962718392196,12.929767822846769,11.689589863319112,11.149818094022084,12.157018034597456,9.916123552976746,11.980178758299543,9.570614284775019,11.239505072974643,10.334122527188256,10.12486836665978,9.12873992307678,10.81988211899348,12.04795021822919,10.93751027386474,12.59691403012561,11.911445604718255,12.511660106874919,11.48841731752391,10.272659730530629,11.613850881871972,10.816326914922053,10.62613206583521,10.835871399582727,12.033847913469959,12.179608837417934,11.434494396914609,11.48307802511946,12.055875699481238,11.491324860886065,11.105597477244293,10.651689676243976,12.438882345738621,10.876047679992473,11.812662113376936,11.807978575158378,11.86556599969449,11.27736502780539,10.532715005719144,11.316181582034288,12.796543822907235,12.028228218788685,12.290937300002124,11.106901522887792,12.845975041956358,10.935405119160274,12.913780295492515,12.752558220663799,12.715720533393322,11.544299894053003,11.231753077358007,11.378471038911654,11.46815334082298,12.018502614744332,10.634743456931222,11.804763117238235,11.732523086926216,10.716554730725678,9.667770740940517,11.74701808708842,10.513468765856134,12.414864847193597,9.403702533236986,8.288502660458503,13.056834192379666,12.201684479763653,11.4960245632607,12.803271737435592,11.812887092809317,11.457772291872818,11.93410151322251,10.988769530197203,11.947485477825543,10.86249167121866,11.880661331238633,11.61519333585571,11.902623597856449,10.830089109504351,11.843302264070626,12.909388331129502,11.963119060934886,10.280571549320998,11.130642802090101,10.43912141832887,11.435344289623849,12.14084094981461,12.29702021505522,10.886073508502353,12.264205258744566,11.800643270835279,11.354632726020142,12.948363615685828,11.52010855775165,8.488590751653135,12.893742185086014,10.6230044586422,13.39910810550108,9.790152949443009,10.12309189796772,10.469492663993783,12.868848395412387,10.815347950905563,12.327300641523752,11.896243014372883,12.045850239532149,11.746398624842584,10.422330801496685,13.05125501125535,12.050167878644302,12.090983999002237,11.733914707341924,12.407505067308318,12.332909584369348,9.678208204391206,10.208891409793464
2035,11.64013664489207,12.58899034365364,13.859025003793446,15.61150658940492,13.47492318705696,14.875256337063467,13.598203991094362,11.938075664574688,12.437160300171897,12.609739232970322,11.703048399933007,12.89298637308504,12.868338530802214,12.601688410276955,13.605564824507937,13.943991869364098,12.388031914182331,12.130693566459033,12.924329841914384,11.475594948126894,12.72097369898921,11.551822276077358,14.950516407580482,12.824955516535306,14.279814959301252,15.760785092478216,10.505786683896314,13.73700205495824,13.993202566290678,12.78589615484943,15.393522508442404,14.199436293509992,12.506872438866159,13.099859512370566,11.701423254026022,11.422422176469924,12.334280256991802,14.502832530957207,11.95161767377842,12.924508764691977,12.696141669931624,12.959722222193426,13.555500167867411,12.558817470851155,16.535623247208804,8.64015611552674,14.535599954102349,13.579347711461399,13.005938654360564,12.92854647824298,13.177535064194519,12.695650764133617,14.03221011939256,16.785123611597918,12.648205134369764,12.396219775080683,13.440009121013727,11.658039148734963,14.02059407985729,10.384117567668794,12.420500289486805,11.139251808757367,11.681568526541414,10.685071727503901,12.46077448680349,13.617341681666996,12.276805495438365,13.643202412873507,13.985501280621342,13.442168288661733,12.641290633574782,11.085335529368862,13.2902081394973,11.758457777940711,11.722771359688565,12.265261840561163,13.50001380884129,13.61190417020217,14.600975635259047,12.676441815641265,14.84651581651491,12.34002346383489,12.24237573762303,11.434988014400004,16.42381186653739,12.2552722737841,13.198614362789238,13.272383175142433,13.345087440117549,12.338406627025941,11.463455879169961,12.620913535356522,14.293482898046141,13.07075404193576,13.292628964328244,12.014842643038087,13.768871745013675,11.766394705714093,13.991619231260344,14.146433781022607,14.673256207743417,12.587671145796781,12.090068936347961,12.555853943279741,12.379338569615198,13.135228465108776,12.467227766695236,13.31158136220082,12.53743175060853,11.541893697384259,11.338053026924962,13.073260723896649,12.073384687952373,14.630920990977598,10.172944167385934,9.742496450148197,16.039266833347153,14.668255218659,12.336351417328995,13.776612038602648,12.938650227759197,12.804051611734476,13.90813097811264,12.7477237906145,13.16904437088448,12.039673333744643,12.777342059042143,12.974689297378061,13.361123594252962,12.223086866995565,13.005847713221677,14.071094535858087,12.992562677549278,11.81062204423158,12.47034845436397,11.499528826578803,12.796583595483199,14.518497986961966,14.116824022453764,11.989921446727669,13.416834318807915,13.204180350770121,12.782020716563517,14.015948828147808,13.022060516735785,9.44057438020473,13.996143053245286,12.173414175277168,14.38723317760488,11.340213325198578,11.423498904899416,11.534347030941559,14.465869686525807,11.871332497376455,13.579217308241393,13.014376644500656,13.781746001752177,12.626475446898008,11.24338348792947,14.087023467554351,13.847834367952917,13.210082523524761,12.997169426601866,13.720660603564719,15.101744891508766,10.420060834806899,11.694058724719543
