Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2026,16.833307743072513,17.9875627040863,18.58432539701462,19.630192899703978,17.338850772380834,19.42260011434555,17.885738563537608,16.455946958065034,17.92811204791069,17.04219909310341,16.727593439817433,18.115031814575207,17.556967318058014,16.47263020277023,17.657427197694783,18.199163448810577,17.448603802919394,17.1454381108284,18.025028890371324,16.76810878515244,17.01422496438027,16.45041464567185,19.44261152744293,17.48920468091965,18.750506377220155,19.038883209228512,15.21797186732292,18.40782525539399,18.127366375923152,18.022331255674366,19.92196388244629,17.715933704376233,16.86843535900116,18.320005840063093,16.690268856287005,15.55791829526425,17.272405135631566,18.491849756240846,16.94582141637803,18.152193474769586,17.18267528116703,17.282986563444144,18.263192296028144,17.061415678262712,20.723380327224735,13.801952067017563,19.004553234577173,18.364684474468238,18.181790906190873,17.292082011699677,17.392345237731938,17.160271537303927,18.14830448627472,21.86331366300583,17.563765776157382,16.627829813957213,18.376400780677795,16.678200465440753,18.52314051389694,15.1712053000927,16.822751751542093,15.937154504656792,17.188585937023166,16.18939503133298,17.510373139381414,18.534998869895936,17.335146021842952,17.753885966539386,18.298465776443482,17.85822275876999,17.744812661409377,15.861498200893408,18.3613127052784,16.626965105533603,16.032493641972543,17.772614389657974,18.569368714094168,18.257244330644614,17.59863429069519,17.960057687759406,19.337634497880938,16.927760869264596,17.381458318233495,15.995035052299503,21.089615988731392,17.440867877006532,18.465000599622734,17.309769558906556,18.64459238052368,17.408478045463575,16.24974495172501,17.270011427998543,18.32833989858627,17.84366356134415,17.580994975566874,16.56310838758946,17.55204377174377,16.4322135925293,18.065869224071502,18.799283143877986,19.212155449390412,16.663507252931602,16.897696608304976,17.11820164322853,17.345229065418245,17.268833398818963,17.101765942573543,18.637431716918947,17.16876713037491,16.41122795939446,16.446589219570168,17.644344377517694,17.529428678750985,18.696435558795933,14.988708150386808,14.633936172723775,20.466883111000065,19.09671796560288,17.164052963256836,17.554309320449835,17.229037430882457,17.858120608329777,18.34978293180466,17.257902026176446,17.911826395988463,16.62992963194847,17.364523702859877,18.259531748294837,18.392959403991696,17.189793241024013,17.890505623817454,18.61732861995697,17.09153254032135,17.382412451505658,17.847244846820843,15.531724262237551,18.038280022144317,18.918786025047304,18.284296798706055,17.076263594627388,18.337982213497163,18.49071862697601,18.006591945886612,18.178413987159722,18.491732949018477,14.339696720242506,17.993784505128865,17.648835128545763,18.574210047721856,16.869806185364723,16.30901514887811,16.407730424404154,18.78910872936249,15.978900262713434,18.281232064962385,17.7542304456234,18.951360422372822,17.495753556489944,15.893948924541473,18.335921025276186,18.18711388111115,17.477887308597573,17.236250132322304,18.329799246788024,19.66236574649811,14.92372656464577,16.884196805953984
2027,16.39490844011307,17.589306855201727,18.625078368186955,18.978326249122624,17.397304224967947,18.84163744449615,17.875257706642156,16.59073666334153,17.391366147994997,17.159282302856447,16.29639053344727,18.10551149845123,17.634674513339995,16.685222518444068,17.63811205625534,18.178165805339813,17.47511475086211,17.119514048099525,18.0085086107254,16.226482319831856,17.028429687023166,16.3454966545105,19.151877069473265,17.55569761991501,18.462832033634193,18.974789118766786,15.339676976203922,18.443016648292545,17.776459956169127,17.987614190578466,19.2770310163498,17.708677780628204,16.903992891311642,18.327249312400824,16.308741772174834,15.604551583528519,17.38715206384659,18.404055500030523,16.746306002140045,18.124258828163153,17.228580951690674,17.29524966478348,18.223605966567995,17.185100519657126,19.92146377563477,13.907503712549808,18.498864185810096,18.33729096651077,18.19755511283875,16.8826513171196,17.387419360876088,16.698611235618603,18.173378300666805,20.997897279262546,17.582532584667202,16.471298384666447,18.407124733924867,16.270695662498476,18.29188449978829,15.273245114088061,16.861110633611677,16.04454590082169,16.63038362264633,15.659071427583694,17.138423073291776,18.532004249095916,17.35536803007125,17.792872202396392,17.85220625400543,17.912420237064364,17.76342414617539,15.997798866033554,18.457358914613724,16.60719923973084,16.067082250118258,17.25031397342681,18.61309280395508,18.301213073730473,17.820235085487372,17.918098533153536,18.769412422180174,17.040690445899976,17.13556122779846,16.116090571880335,20.195897674560552,17.363241684436797,18.455162465572354,17.47313703298569,18.650862050056457,17.395835661888135,16.222466182708747,17.335693264007567,18.27173981666565,17.895737993717194,17.580965399742123,16.65379911661148,17.539067995548248,16.568680667877196,18.1184439778328,18.858751386404045,18.95272653102875,16.699018037319185,17.036867582798003,17.163332426548003,17.461806368827826,17.280462503433228,16.703626406192775,18.643042325973518,17.282966291904458,16.55109477043151,16.02978549003602,17.717999482154852,16.99221493005752,18.228758001327513,15.105316340923306,14.40676282644272,19.79227225780487,18.643044769763954,17.17100061178207,17.557135939598083,17.213742905855177,17.867574667930608,18.09099348783493,16.85757596492768,17.943638801574707,16.656816267967223,17.476618075370787,17.879505658149718,18.373549008369444,16.948258078098295,17.94000521898269,18.64632866382599,17.123363864421844,16.824168348312377,17.358341372013093,15.59442124962807,18.024514877796168,18.487321293354036,17.9308818101883,17.047626876831067,18.380666089057925,18.471867489814763,17.989294695854188,18.166211879253392,17.99893286228181,14.34875788092613,18.035320675373086,17.098996651172637,18.54049156904221,16.304957288503648,16.16324428319931,16.41204482316971,18.61923578977585,16.021079862117773,18.34431295394898,17.816702342033395,18.966797286272048,17.61947907209396,15.99192591309548,18.34262462854386,17.94244188070298,17.469234472513204,17.19044147729874,18.38982701301575,19.130934858322146,15.020334732532508,16.392698550224306
2028,16.024850177764893,17.169394969940193,19.14041175842285,17.753296184539796,17.137345778942105,18.219062423706063,17.522363317012793,17.022507059574128,17.015467357635504,17.476608562469487,15.766338181495666,17.635374975204467,18.060923933982856,16.366624879837048,17.280422210693356,17.805279076099403,16.97038134336472,16.7168586730957,17.496139764785767,15.819787132740021,16.71225682497025,15.463322544097903,18.35499241352081,17.96804196834565,18.266781282424926,18.133055067062383,15.724196171760559,18.86308648586274,17.442100214958195,17.49011704921723,18.092973423004146,17.42276775836945,16.697312355041497,17.787580490112298,15.842701959609991,15.326051199436185,17.68314552307129,17.692367303371434,16.35562679767609,17.644643187522885,17.431657719612126,17.057744836807252,17.818903350830077,17.581282079219825,18.838957190513618,14.376713746786118,18.088792562484745,18.037707209587108,17.678582191467292,16.32077651023865,17.03066064119339,16.171324491500858,17.845420539379123,19.31941004991532,18.063080048561094,16.379090237617493,18.75150880813599,15.771444642543798,18.261236739158626,15.673995792865753,16.904580175876625,16.432373011112215,16.24331139326096,15.238968288898473,16.659917140007018,17.975802230834965,16.845340967178345,17.469534432888032,17.346939420700078,17.816553187370296,17.600432169437408,16.391912937164307,18.061211371421813,16.234385347366334,15.94338818788529,16.871111774444586,18.537380504608162,18.84113677740098,16.146522951126098,17.49468727111816,18.144835090637205,17.43908122777939,16.76000158786774,16.503879237174992,19.00614116191864,16.84029570817948,17.90810356140137,17.227977824211127,18.079434943199164,16.979126071929933,15.860276389122017,17.811723875999455,17.636988425254824,18.353304314613347,17.240803241729743,16.95579773187638,17.224130702018744,16.96781107187271,17.829125070571898,19.38614856004715,18.86236968040466,16.383650696277623,17.425144851207733,17.31702333688736,17.72629967927933,16.947291207313533,16.17176394462586,18.05467026233674,17.66763249635697,16.92131503820419,15.550217676162726,18.18808416128159,16.613593518733982,17.758759903907777,15.490096640586852,14.219735813140872,18.542824029922482,18.134091210365295,17.624516153335566,17.281905925273893,16.8180632352829,17.550141716003417,17.90092990398408,16.339878475666048,18.465618085861212,17.005293262004855,17.82490289211273,17.47845871448517,17.88393654823303,16.75719537734985,17.89629683494568,19.124980258941658,16.804846954345702,16.4315864443779,16.987004613876348,15.313790071010587,17.50029430389404,18.023259258270265,17.59200003147125,16.63841252326966,18.883549857139588,17.912655186653136,17.437227129936222,17.783373641967774,17.616210508346562,14.632548689842224,17.751210224628448,16.70680606365203,18.17343568801881,15.921762168407449,16.05716687440872,15.987801218032843,18.078306221961977,15.70627492666245,18.835677170753478,18.298016357421865,18.336197817325587,18.021694493293776,16.379045176506043,17.984096455574036,17.252873218059545,17.07980390787124,16.77552547454834,18.884139120578762,18.563567113876342,15.392230451107029,15.934151816368104
2029,16.460085761547084,17.666896778345116,19.199518930912017,19.561923813819885,17.789059096574793,19.782662951946264,18.245371979475017,16.753403016924857,17.50564269423485,17.32669904828072,16.036011362075815,18.08298447132112,18.171324157714842,16.615838390588763,18.0309185564518,18.559272861480714,17.453397536277773,17.126959061622617,18.009649318456656,16.288353505730623,17.417509281635294,16.25148396492004,19.686794483661654,18.08870774507522,19.157502639293675,19.22328678369521,15.491306678205728,18.995711183547975,18.426941692829132,17.98401603102684,19.880114316940308,18.040475332736968,17.280785411596305,18.31702709794045,16.10113631486893,16.022622739523648,17.528436118364333,18.732735347747816,16.770038759708402,18.12132810354233,17.737051349878318,17.665200984478002,18.272243714332582,17.334977626800537,20.14543578624726,14.081343975663188,19.264122915267944,18.418660891056067,18.18016493320465,16.56020792722702,17.804978474974636,16.440330755710608,18.537452572584165,21.778777801990508,18.146545124053965,16.38921525478364,18.904097563028348,16.049018129706383,19.023892390728,15.40705925319343,17.331324285268785,16.157578151207417,16.763897365331662,15.708061052858833,16.93463727235795,18.535992485284797,17.32966313362121,18.160014623403548,18.531807088851934,18.21513038277626,17.840342819690708,16.1520636945963,18.58227159976959,16.622153925895695,16.504939931631096,17.341111230850213,18.896652346849443,18.93430542051792,17.300223135948176,17.90410817861557,19.668014794588103,17.177190709114075,17.169092667102813,16.269577562808983,20.469318890571586,17.38908236026764,18.442062056064607,17.46079722046852,18.630753093957903,17.3932240843773,16.249011206626893,17.893535923957835,18.623315930366516,18.443147456645967,17.963578599691395,16.830393691360953,17.88935055732727,16.72800946235657,18.479823762178427,19.486258929967875,19.63241829872132,17.073995676636695,17.201005622744567,17.677917325496672,17.602299338579183,17.69429439008237,16.427994567155842,18.62274349927902,17.445325452089314,16.692928943037987,15.861985319852831,18.2713034272194,17.11520693302155,18.933579778671273,15.25082475356758,14.294499621167782,20.394675421714783,19.44299963116645,17.69841988086701,17.915948504209517,17.660795302689078,17.90599305033684,18.774868220090863,16.576520609855656,18.514617645740515,17.193219077587127,17.675887441635133,17.946955728530888,18.383029115200046,16.970098650455476,18.01142832040787,19.15616863965989,17.48715175390244,16.949375540018078,17.440338647365564,15.991518810391431,18.016440325975417,19.255532181262964,18.613466811180125,17.0491384267807,18.95694569349289,18.461094981431962,17.979624241590503,18.530005526542666,18.083490431308746,14.441308909654623,18.42630130648614,17.21777886152268,18.87624921798706,16.439014676213265,16.10776937603951,16.39577406644821,19.05474753379822,16.41378671973944,18.929815697669987,18.41332924365998,18.962915056943892,17.787242209911348,16.156730139255526,18.718281126022344,18.4163235783577,17.87554314434529,17.59364408254623,18.957420641183866,20.017704391479498,15.124495375156409,16.476845103502278
2030,16.18536928892136,17.24433178901673,18.181435799598695,18.35993058681489,17.481406199932103,19.032395291328424,18.1103684425354,16.933271825313575,17.131045234203338,17.53416088819504,17.108410030603416,17.560388016700745,17.189155793190004,17.06896077394486,17.915351724624635,18.43310497999191,16.83756594657898,16.637778484821315,17.39043225049973,16.192358005046845,17.23700331449509,15.661940503120423,18.932479262352,17.12074131965638,18.486884641647343,18.982049298286448,15.673494106531146,18.019733250141137,17.921382713317875,17.41844472885132,18.726524901390075,17.877613520622255,17.117671847343434,17.667158567905425,16.989169347286225,15.757867902517319,17.632458639144897,18.62967851161957,16.38939745426178,17.558163237571716,16.941635656356816,17.560668301582336,17.633979153633128,17.559103786945354,19.688309836387635,14.343420941382638,18.771686553955075,17.82181607484818,17.58346872329711,17.76536115407944,17.64938268661499,17.59020639657975,18.35904138088226,20.157123982906338,17.219893431663518,17.092736220359804,17.92855609655381,17.015057140588766,18.098121070861815,15.674088466167452,16.717523062229162,16.55511179566384,16.35025073289871,15.64872934818268,17.799866008758556,17.828477144241333,16.71226831674576,17.95767450332642,17.847226810455318,18.16337043046952,17.554789113998417,16.320610386133193,17.62447409629822,16.15324370861054,16.085659700632096,17.01858485937119,17.969986534118654,17.752992475032812,18.347873377799985,17.434915089607248,18.979618561267852,17.44553937911988,16.803273081779487,16.47452911138535,19.93737719058991,16.755606341362004,17.835985982418066,17.99904614686966,17.999444580078137,16.90071498155594,15.771372318267812,16.811050653457645,18.513655769824982,17.48378504514695,17.799242150783538,17.145279783010483,17.75780133008957,16.89910774827004,18.24600269794465,18.32333284616471,18.869564759731293,16.864223229885102,17.37327374815941,16.964975476264954,17.703686463832856,17.49000653028488,17.539944815635685,17.97550339698792,17.66696654558182,16.857550454139716,16.67154569625855,17.161882603168486,16.711446261405946,18.415700578689588,15.433869522809985,15.004705238342288,19.168667984008795,18.79620004892349,16.845394825935365,17.726312839984892,17.496028679609303,17.455402278900152,17.901354134082794,17.710060727596286,17.500868678092964,16.318388259410852,17.789253234863274,17.583509278297434,17.765725457668303,17.144085288047794,17.799350428581242,18.223271524906156,17.30099390745163,16.54605889320373,17.12961262464524,15.743243998289111,17.422143971920008,18.63186066150666,18.08670766353607,16.54866021871567,17.958395469188694,17.850212073326112,17.36689788103104,18.40755676031113,17.763818919658668,14.803626459836957,18.16293022632599,16.822724699974064,18.791508591175084,16.019815993309027,16.654903227090834,15.886441206932068,18.55360010862351,16.192380523681646,17.869990515708924,17.362346017360686,18.156667792797087,17.939703762531277,16.353256326913833,18.558655285835265,17.792234480381016,17.74474323987961,17.26802841424942,17.87591854333878,19.33042315244675,15.433563822507859,16.119860875606538
2031,15.376430809497839,16.25299361944199,17.339735496044167,18.217197823524476,16.521222710609443,18.090559756755827,17.033966577053075,15.975785142183312,16.177710914611822,16.496857815980913,15.328910177946094,16.524866497516634,16.409256803989408,15.741642904281623,16.75840283036232,17.2788652062416,15.849127608537675,15.756817448139188,16.321990388631814,15.007509416341785,16.235262036323544,14.850365626811975,18.260793828964232,16.361271846294404,17.836230862140656,18.089836764335633,14.706246459484106,17.177375352382658,17.37095890045166,16.34257366061211,18.585240364074714,17.023741424083713,16.147873061895375,16.567464810609824,15.3801926612854,14.760967126488685,16.67437717914581,17.462744116783142,15.565722501277929,16.503188788890846,15.990055751800544,16.462808448076256,16.57781164646149,16.599285435676574,18.68060472011566,13.181635195016861,18.10328453779221,16.82290996313095,16.519522488117225,15.914122939109808,16.463998067379002,15.705347156524663,17.337127161026,20.036066162586206,16.469815146923068,15.707316660881043,17.015492218732838,15.338778030872357,17.180437266826633,14.62971895337105,15.735742563009262,15.383521836996081,15.396383231878284,14.497973436117173,16.196728944778446,16.713878738880158,15.71212806105614,16.97808503508569,17.11188519001007,17.165424907207488,16.537246692180638,15.360578083992001,16.52531114816666,15.36142940521241,15.099645110964781,16.092455828189856,16.955782598257063,16.752868705987925,16.413906872272488,16.44011934995651,18.127842324972153,16.413878387212755,15.962394297122955,15.504865598678583,18.881977319717407,15.689260780811313,16.72806331515313,16.591354644298555,16.85550560355187,16.020186173915864,15.01434673070907,15.92022600769997,17.30800423622131,16.70222936868668,16.775268256664273,15.960227477550513,16.787978613376616,15.952775192260736,17.324712741374967,17.343506854772563,18.077446722984313,15.857214033603668,16.430999213457117,16.059846180677415,16.737258857488634,16.36062999963761,15.748680496215822,16.806856006383903,16.68002901077271,15.915485560894016,15.060541534423825,16.22688398659229,15.750414627790454,17.769311916828162,14.459949100017548,13.558752506971365,19.03953149318696,18.080095243453986,16.144866788387308,16.799960601329808,16.261536639928824,16.406576585769663,17.10948637723923,15.9686139702797,16.631301122903825,15.423965910077104,16.86588968038559,16.65795241594315,16.713155353069304,15.937452518939972,16.816700577735908,17.381400716304782,16.31474229097367,15.60087662339211,16.25518159866333,14.753158783912664,16.345412629842766,17.934462046623235,17.58635549545288,15.654650664329528,17.12716619968415,16.707049322128295,16.260385543107983,17.25486824512481,16.80466846227646,13.66843559145928,17.198747926950457,15.864015418291086,17.665179634094237,15.054786264896396,15.352133214473719,15.056485402584078,17.862335360050203,15.167025971412667,16.981040954589844,16.526185965538016,16.9167638540268,17.01051794290542,15.371333169937131,17.505923593044283,17.160618770122525,16.513575798273088,16.37896903753282,16.93714861273766,18.490415459871294,14.396422785520553,15.202239966392508
2032,16.364881026744833,17.554990851879133,19.373253238201148,19.702511906623847,19.078241717815402,20.577097785472866,19.74611123800278,17.40556658506393,17.332688748836524,18.093828237056734,16.291381859779356,18.214632141590116,18.317880690097805,17.31061937808991,19.62421065568924,20.13415480852127,17.54804414510727,17.265769696235658,18.089666581153875,16.179652941226966,18.817628419399263,16.02255964279176,20.62723398208619,18.237459969520565,19.653846299648283,20.401203465461737,16.173708069324498,19.169846999645227,18.984440040588385,18.095305228233347,20.033414554595954,19.270310020446782,18.54178988933564,18.412283217906957,16.34036605358124,17.382080137729638,18.166534662246704,20.271812176704408,16.84992210865021,18.235477781295792,18.272548925876617,19.08504736423492,18.33225419521332,17.98428688049317,19.286417484283454,14.98239523172379,20.121715581417092,18.49581044912339,18.277866959571842,16.823626089096066,19.428734219074254,16.675998115539553,19.924512028694153,21.9567883014679,18.34911844730377,16.855270457267764,19.05266712903977,16.27462568283081,19.449435889720924,16.177686965465547,18.139110779762266,17.014501523971564,16.574926304817204,15.611832332611083,17.14323822259903,18.56617448329926,17.449559211730964,19.48100955486298,18.502526378631597,19.388674461841582,18.153472304344184,16.856126332283022,18.645913302898407,16.784832239150994,17.57591267824172,17.219913911819454,18.98134179711342,19.08643068671227,17.374010586738585,18.06094275712967,20.44497765302658,17.89890486001968,17.197262728214266,16.908609187603,19.516000699996944,17.42974046468735,18.55910093784333,18.16417412757874,18.736567199230194,17.539545941352845,16.38942577838898,17.998202663660056,20.270670247077945,18.62923299074173,19.420512020587932,17.825700616836542,19.243637466430663,17.40690155029298,19.702833449840558,19.65002058148384,20.08138322830201,18.4234460234642,17.900528192520152,18.29993191957474,18.223745846748365,19.213775277137763,16.677557957172397,18.720291340351103,18.11465454101562,17.41239196062088,16.031385028362273,18.394888651371,16.922541856765754,19.556618154048927,15.972622764110568,14.724794054031369,20.55985853672028,20.102371454238895,17.909327673912042,19.18882566690445,19.36453124284745,18.119431328773498,19.22098704576493,16.804854393005378,18.688626801967622,17.578058129549028,18.383327960968025,17.864735817909242,18.432900631427778,17.219046914577483,18.367340302467355,19.31380138397217,18.824365913867954,16.77870844006538,17.317872452735905,17.33655450344086,18.118712389469152,19.90994220972062,19.18434884548187,17.210166358947763,19.12972828149797,18.569720411300665,18.067586338520055,20.07847781181335,17.935852360725402,15.143333125114438,19.736809408664705,17.037850970029833,20.40733165740967,16.24401524066925,16.555186760425567,16.531489527225496,20.00603070259095,17.79938844442368,19.111258637905127,18.5860771894455,18.98154096007347,18.468116343021396,16.822631490230563,20.16829433441162,19.260554838180546,19.51739394664765,18.79220476150513,19.117389827966697,20.80083500146867,15.896870791912079,16.337993121147157
2033,16.983271920681,18.273726797103887,19.17616400718689,19.40678100585938,18.16954098939896,19.837303608655933,18.78358347415924,17.386724460124974,18.142786610126496,18.031793522834775,16.82992272973061,18.572717070579532,18.126666426658627,17.41600773334503,18.620916700363164,19.160680592060086,17.894532638788228,17.536857831478123,18.482413280010228,16.951993858814237,17.899543535709387,16.630520808696755,19.879976034164436,18.039857637882243,19.153373086452483,19.85588443279266,16.166950750350953,19.004821014404293,18.412383186817173,18.48569422364234,19.73607778549194,18.426894807815554,17.737854933738706,18.810030627250672,16.776440221071248,16.44360442161559,18.15265221595764,19.518383562564853,17.231762850284586,18.606157660484314,17.89557715654373,18.223656904697418,18.73527113199234,18.022507810592657,18.608770346641542,14.956479542888705,19.361684489250194,18.820163774490357,18.661946856975554,17.387686574459075,18.39607214927673,17.29220296144486,19.03470113277435,21.562056231498733,18.082958209514622,17.15038440227509,18.930089551210408,16.755993920564663,19.07593252658844,16.18204591274261,17.60700162649155,17.05365542173386,17.415406155586243,16.35898674726486,17.580103397369392,19.015105098485954,17.794961798191068,18.620632266998292,18.280086040496823,18.76198115348816,18.396683192253125,16.80646026134491,18.93203004598617,16.996537673473355,16.861079615354544,17.9604562997818,19.120267659425735,18.954939934611314,17.823666322231304,18.38202842473985,19.752191144227986,17.924446797370912,17.64453346729279,16.954365658760075,18.87802324295044,17.89347256422043,18.962565857172006,18.357475018501287,19.160319590568548,17.80742650032044,16.5981186389923,17.908840161561965,19.357213294506074,18.388873457908637,18.47717500925064,17.69634060859681,18.36393806934358,17.364758574962615,18.879777657985688,19.489060848951347,19.693623292446134,17.56023311614991,17.82483081817627,17.82207868099213,18.231557250022888,18.239665567874916,17.218405997753145,19.166349881887438,18.146403110027318,17.32359920740128,16.51753284335137,18.29736238718033,17.75077159404755,19.006526613235476,15.938616615533837,15.013936918973922,20.231537675857545,19.455482316017154,17.646038401126866,18.330614876747127,18.271182703971867,18.423311227560045,18.828380966186526,17.3670526266098,18.509423995018015,17.290961569547655,18.266521716117857,18.508785212039946,18.83574135303498,17.61537808179856,18.558480095863345,19.210361158847817,17.970718836784364,17.601347255706788,18.019330215454108,16.421297013759613,18.519802349805833,19.263573765754707,18.56785016059876,17.47615591287613,18.89634653329849,18.99950922727585,18.492696309089663,19.132710409164428,18.710258376598357,15.2061638623476,18.821036565303803,17.87666569948197,19.4933419585228,17.087704175710677,16.743084472417834,16.789842653274544,19.298691129684453,16.891574883460997,18.920769500732433,18.36381850242615,19.491572922468194,18.411211228370664,16.84917029738427,19.25529918670656,18.627385377883915,18.51418310403823,17.987765467166895,18.983228671550744,20.05626038312912,15.902088785171511,17.111644196510312
2034,17.617812979221345,18.939185887575157,19.985766613483428,21.247465896606453,19.369183683395384,20.811643552780154,19.987703037261966,18.70934615135193,18.744894570112233,19.438758122920994,19.455822110176086,19.457732069492337,18.881236588954927,19.813964951038365,19.932012057304384,20.400060057640086,18.771668577194216,18.34234830141067,19.3642330288887,17.991353875398644,19.010627698898315,17.55714197158814,21.54827888011933,18.789842748641966,19.88046135902405,21.586920261383057,17.53060762882233,19.786763167381288,19.047931122779854,19.37734608650208,21.506957006454478,19.506871008872984,18.861591577529904,19.751073837280284,19.082621043920522,17.609715199470525,19.447199440002446,21.41040947437287,18.031049430370327,19.492593348026283,18.828245496749886,19.486894273757944,19.589333808422094,19.34864801168441,19.954735398292545,16.70808630585671,20.129561448097235,19.657649731636045,19.583996844291686,20.22068066596986,19.676767241954803,20.028862965106967,20.22043651342392,24.060640871524818,18.898880565166472,19.17812422513962,19.793000400066372,19.170323163270957,19.942445838451388,17.722817260026932,18.613249731063842,18.81580337285996,17.9885372877121,17.415739756822585,19.806337189674384,19.940793275833137,18.72035979032517,19.75762963294983,19.005478334426876,19.972709083557135,19.44309355020523,18.165231859684006,19.962685406208035,17.793557679653173,17.91988009214402,18.588564419746405,20.057206010818486,19.86581340432167,21.649951291084292,19.231136560440056,20.634591424465178,19.389588177204125,18.39221795797348,18.27600457668305,20.257999014854434,18.75284239053726,19.947389340400697,20.69023418426514,20.159823703765863,18.643121957778934,17.353620815277115,18.690426719188697,20.99951779842377,19.179180228710173,19.64496052265168,19.365904176235205,19.498977541923516,18.69543054103851,19.984507608413708,20.39526634812355,20.483533728122715,18.682065212726584,19.185297274589544,18.75346820354462,19.533885288238523,19.521181488037108,19.84505484104157,20.176900100708007,19.520559024810787,18.689500749111172,18.713773870468145,19.12096193432808,18.325196540355687,19.72902126312256,17.33860094547272,17.15005977153778,22.149197101593025,20.26036031246186,18.406559240818027,19.457252550125123,19.706208562850964,19.407569909095766,19.747239851951605,19.955006206035613,19.317930865287785,18.15353572368622,19.530820214748385,19.19504390954972,19.68886314630509,19.027663350105293,19.612803697586063,19.950476419925696,19.077668094635015,18.187804728746414,18.655916726589215,17.563769662380217,19.45083943605423,20.043595600128178,19.204585433006297,18.29917670488358,19.720339143276224,19.996871614456186,19.412177634239207,20.382556533813478,19.326562130451197,16.873994719982154,20.04082319736481,18.465056395530702,20.674159502983095,17.671756786108016,18.611616051197057,17.563852965831764,20.640044450759888,18.0445170044899,19.765907037258156,19.202579212188716,20.53767349123956,19.739218306541446,18.227343940734865,20.433408534526826,20.051250767707824,19.847634243965153,19.212205970287325,19.823797774314876,20.964653754234316,17.481969034671785,17.74144312143327
2035,15.485340178012853,16.52765797376633,18.318167543411256,19.773883032798757,18.136521267890927,19.11895869970322,18.871060788631446,16.901195180416106,16.218253850936897,17.62042865753174,15.774626754224306,17.553767013549805,17.337288171052933,16.993649625778204,18.751238381862642,19.23697648048401,16.765741503238683,16.658476185798648,17.33946075439453,15.14656379893422,17.908685415983204,15.757539546489715,20.071357202529903,17.262625265121464,18.588070726394655,19.7124995470047,15.699446925520899,18.153389054536824,17.99891905784607,17.397483271360407,20.054453444480902,18.54534956216812,17.6895988047123,17.607211285829546,15.72795842140913,16.40825894773007,17.612666666507724,19.524778139591216,16.129953265190125,17.54209982156754,17.240180709958082,18.2341016471386,17.64695925712585,17.586632269620896,19.3670504808426,14.417192070186138,18.928653419017785,17.823034411668772,17.56083196401596,16.37774304151535,18.47626941800117,16.175246798992156,19.076252233982082,22.03867721557618,17.395509314537055,16.482261824607853,18.012076145410543,15.751861360669142,18.23484486937523,15.747724390029905,17.15540861785412,16.670180130004887,15.415599837899219,14.640495296567684,16.557196834683424,17.770083415508285,16.66206618547439,18.625486868619923,17.803198981285092,18.647758507728582,17.5412449836731,16.320000952482225,17.53279311954975,16.21119359731675,16.61167667806149,16.15939530432225,17.983114174008374,17.932635681331156,17.508196067810054,17.453121006488807,19.08260543346405,17.49168014526368,16.434527230262756,16.493545544147494,19.653458786010738,16.703271406888966,17.85024551153183,17.96814191341401,17.983488249778755,16.947471463680273,15.821809339523321,16.926996237039567,19.43880977630615,17.628648018836977,18.531073099374773,17.36541876196862,18.459680724143986,16.89082037806511,18.866292619705206,18.507456830143934,18.960477507114415,17.52785467505455,17.351710855960846,17.300208836793907,17.691942542791367,18.288029718399052,16.223878741264343,17.95258038640023,17.709585261344905,16.859446179866787,15.423002870380879,17.323790811002258,15.771786712855103,18.52355926036835,15.467867445945739,14.148393622040748,20.624789929389955,18.875425314903268,17.03053073883057,18.380332028865816,18.41171083450318,17.417173141241076,18.187849175930022,16.43265888690948,17.642888939380647,16.579397797584534,17.853733664751054,16.96710140109062,17.709423041343694,16.45730905532837,17.772977423667918,18.37778893709182,17.95925745368004,15.628960234671837,16.337935036420827,16.38249446153641,17.426140779256823,18.719903302192687,18.1986609697342,16.558641517162325,18.081500250101094,17.863599544763566,17.345385277271284,19.20979380607605,16.86248262822628,14.65130855590105,18.84275053739548,15.890516496263448,19.56988073587418,15.084688348323107,15.948648750782022,15.869393110275274,19.407970452308657,16.854610919952393,18.040000474452977,17.534161496162422,18.077667073905474,17.92689865231515,16.40893210172653,19.302866566181184,18.756612360477455,18.600745636224747,18.011083400249483,18.045302993059163,19.42296566963196,15.517597931623461,15.27084144949914
